Case_Name,IPP Lat,IPP Lon,Find Lat,Find Lot,Watershed,SubjectCategory,Eco Region,Terrain,Distance
Arizona31,33.70541668,-111.33805,33.67915001,-111.31695,1,Hiker,Dry,Mountainous,1.872345642
Arizona32,33.70541668,-111.33805,33.67915001,-111.31695,,Hiker,Dry,Mountainous,1.872345642
Arizona33,34.63499997,-111.5466667,34.63499997,-111.5466667,0,Vehicle-4wd,Dry,Flat,9.81217E-13
Arizona34,33.96816667,-111.9348333,33.96816667,-111.9348333,0,Vehicle-4wd,Dry,Mountainous,0
Arizona35,31.39708335,-111.2064333,31.40633332,-111.1968333,0,Hiker,Dry,Flat,0.920436843
Arizona36,32.01088333,-109.8509833,32.10883334,-109.8509833,0,Despondent,Dry,Flat,5.408774919
Arizona37,34.15116666,-109.8896667,34.1517,-109.9133,1,Hunter,Dry,Flat,1.632160578
Arizona38,32.40750001,-110.825,32.40750001,-110.825,0,Hiker,Dry,Mountainous,0
Arizona39,34.89333331,-111.8633333,34.90666669,-111.8760333,0,Hiker,Dry,Mountainous,1.233257392
Arizona40,34.94833336,-111.795,34.94666665,-111.795,0,Hiker,Dry,Flat,0.106440269
Arizona41,31.72261664,-110.1878333,31.74176668,-110.1917833,,Hiker,Dry,Flat,1.285928794
Arizona42,33.39733334,-111.348,33.44166667,-111.3676667,1,Hiker,Dry,Flat,1.868715657
Arizona43,34.63041668,-112.5553,34.62723331,-112.5457666,0,Hiker,Dry,Flat,0.693802398
Arizona44,35.26088333,-113.9805833,35.18688334,-113.3651,6,Mental Retardation,Dry,Mountainous,42.68665145
Arizona45,34.15995,-112.45995,34.15100001,-112.4788,0,Vehicle,Dry,Flat,1.420356168
Arizona46,32.74816666,-110.387,32.73283335,-110.3853167,0,Hunter,Dry,Flat,0.283021882
Arizona47,32.44718332,-109.8538666,32.49103333,-109.82405,0,Hunter,Dry,Flat,2.546146597
Arizona48,32.56261667,-110.7051333,32.55876668,-110.7036833,0,Mental Retardation,Dry,Flat,0.148632774
Arizona49,33.40944999,-111.2061833,33.34418332,-111.4271667,3,Horseback Rider,Dry,Mountainous,15.35416859
Arizona50,34.55976664,-111.65395,34.54006666,-111.7034833,0,Hiker,Dry,Mountainous,3.680676844
Arizona51,34.90286668,-111.8131333,34.89183331,-111.8048167,0,Hiker,Dry,Flat,0.919585095
Arizona52,32.36833334,-110.7166667,32.37233334,-110.7181667,0,Climber,Dry,Flat,0.190312618
Arizona53,32.44043334,-110.7910667,32.45033334,-110.8168333,1,Mountain Biker,Dry,Mountainous,1.813640714
Arizona54,34.61666667,-112.8,34.54183331,-112.7815333,2,Vehicle-4wd,Dry,Flat,5.320834899
Arizona55,34.86666667,-111.8833333,34.86666667,-111.8,1,Hiker,Dry,Flat,5.753916667
Arizona56,34.84249999,-109.2758333,34.8197333,-109.3030667,0,Child,Dry,Flat,2.413818671
Arizona57,32.26666667,-110.7916667,32.26966667,-110.7926667,0,Autistic,Dry,Flat,0.152846284
Arizona58,32.43543332,-110.7893333,32.42883333,-110.7943333,0,Hiker,Dry,Mountainous,0.420445365
Arizona59,32.40916665,-110.7098333,32.40083332,-110.6923333,,Hiker,Dry,Flat,1.248998192
Arizona60,32.29733334,-110.2794,32.31533333,-110.3025,1,Hunter,Dry,Flat,1.776315762
Arizona61,34.51823333,-114.2821667,34.51666667,-114.25,0,ATV,Dry,Flat,2.223640674
Arizona62,35.16326666,-114.3189333,35.11666667,-114.4333333,1,Motorcycle,Dry,Flat,8.34351153
Arizona63,35.54000003,-111.9583333,35.54666665,-111.9683333,0,Hunter,Dry,Flat,0.735766308
Arizona64,35.33068333,-111.7110833,35.33423335,-111.6975,1,Hiker,Dry,Flat,0.954101569
